feature,frequency,magnitude
0,0.027850116,0.0028491956
1,0.87821907,0.32241482
2,0.9539931,0.5421871
3,0.93330437,0.4645337
4,0.95435476,0.60250145
5,0.95240164,0.5386539
6,0.96809894,0.4623923
7,0.9635778,0.47395873
8,0.030020254,0.0045520407
9,0.06532118,0.006390395
10,0.2368345,0.033226036
11,0.8958695,0.39061645
12,0.99233216,0.76897657
13,0.88953996,0.50013953
14,0.04144965,0.004413841
15,0.98423034,0.6853433
16,0.06723814,0.00705278
17,0.07374855,0.013512689
18,0.8987992,0.30754182
19,0.92784286,0.35829887
20,0.9535952,0.49835885
21,0.17104311,0.032146066
22,0.9739583,0.62112314
23,0.9822772,0.77200544
24,0.96307147,0.52116805
25,0.94339556,0.4553019
26,0.9403935,0.57075006
27,0.9348597,0.42980307
28,0.9826751,0.676343
29,0.92368346,0.42485866
30,0.9568142,0.58404315
31,0.7398365,0.15293476
32,0.9513527,0.538948
33,0.9826389,0.6239392
34,0.9453125,0.49893698
35,0.93044704,0.33699736
36,0.93847656,0.49579275
37,0.93102574,0.51219743
38,0.9245153,0.46909106
39,0.898112,0.37211403
40,0.90057147,0.36167637
41,0.038447626,0.00539599
42,0.95298034,0.5431157
43,0.093894675,0.00876106
44,0.009150752,0.00085036195
45,0.028247975,0.0030863115
46,0.9572483,0.4672402
47,0.9126157,0.2750705
48,0.865162,0.39072135
49,0.0588831,0.0067208093
50,0.8648727,0.34525123
51,0.90805846,0.3427452
52,0.9619864,0.6565524
53,0.019567419,0.0019080146
54,0.8440032,0.31616884
55,0.9048032,0.41011804
56,0.96766496,0.5666169
57,0.91507524,0.37507367
58,0.058521412,0.0064323964
59,0.97008824,0.6370228
60,0.95099103,0.5376285
61,0.9201027,0.21248911
62,0.92896414,0.39151594
63,0.882921,0.43237686
64,0.0148654515,0.001700127
65,0.89482063,0.28709924
66,0.93268955,0.5341948
67,0.9401765,0.30337808
68,0.03830295,0.0040701577
69,0.028718172,0.0038167024
70,0.9083478,0.42087978
71,0.86216,0.27810302
72,0.88997394,0.35715288
73,0.07609954,0.014055987
74,0.94773585,0.5758401
75,0.867296,0.3440256
76,0.91026473,0.38295045
77,0.9742477,0.5887036
78,0.9397425,0.6082245
79,0.9599971,0.43577456
80,0.89463973,0.42828345
81,0.8321759,0.28396982
82,0.89463973,0.4450874
83,0.012405961,0.0009946881
84,0.942636,0.4223584
85,0.1047092,0.015176467
86,0.8408203,0.32596382
87,0.9473741,0.4925043
88,0.9155093,0.31996268
89,0.85814524,0.4326913
90,0.03942419,0.005156961
91,0.050564237,0.0048805824
92,0.9287471,0.359605
93,0.94925493,0.41866344
94,0.95670575,0.5352267
95,0.06419994,0.008693355
