feature,frequency,magnitude
0,0.9454167,0.6311678
1,0.74581665,0.23767823
2,0.9041167,0.43864545
3,0.5879083,0.11791942
4,0.89205,0.3743013
5,0.9078417,0.3468039
6,0.9096917,0.44447923
7,0.9516583,0.5710878
8,0.96615,0.56853724
9,0.0676,0.009877317
10,0.91903335,0.47405925
11,0.37725833,0.07278836
12,0.92755,0.4520873
13,0.27771667,0.05067981
14,0.97858334,0.63182634
15,0.24911667,0.04054891
16,0.79965,0.31416327
17,0.95108336,0.65825677
18,0.48790833,0.07923109
19,0.16293333,0.025042664
20,0.8717333,0.3541786
21,0.82550836,0.3680084
22,0.91304165,0.41356426
23,0.7103583,0.16801511
24,0.90926665,0.3886275
25,0.83555,0.3472938
26,0.8542,0.3893638
27,0.9432333,0.40977415
28,0.74688333,0.19766305
29,0.2401,0.040220447
30,0.92180836,0.44107136
31,0.8917,0.468123
32,0.187,0.027303323
33,0.87525,0.28658208
34,0.879925,0.3625479
35,0.6134667,0.15926073
36,0.910075,0.33147484
37,0.79025,0.2877738
38,0.6648167,0.15044905
39,0.2517,0.04506625
40,0.88605833,0.44473568
41,0.84436667,0.2739576
42,0.9271167,0.54833835
43,0.90919167,0.43216798
44,0.93906665,0.58194727
45,0.82271665,0.26930612
46,0.13011667,0.020725971
47,0.7159167,0.1674388
48,0.7956167,0.28026378
49,0.866575,0.30064178
50,0.2224,0.0356521
51,0.25908333,0.03561795
52,0.87475836,0.42461374
53,0.15576667,0.02080964
54,0.87085,0.3231348
55,0.83904165,0.3482694
56,0.8910083,0.33520654
57,0.734975,0.23177305
58,0.8951667,0.36994758
59,0.47045833,0.10631932
60,0.79460835,0.26026022
61,0.92460835,0.37332755
62,0.846875,0.3587276
63,0.8908,0.32794425
64,0.66920835,0.18012765
65,0.89579165,0.43478224
66,0.703125,0.18444972
67,0.934625,0.49742174
68,0.935775,0.53896177
69,0.846075,0.3410508
70,0.95138335,0.41509008
71,0.57970834,0.11511447
72,0.9433,0.5300895
73,0.94243336,0.5077846
74,0.9135,0.494583
75,0.35944167,0.061215844
76,0.31286666,0.049596224
77,0.89598334,0.50023574
78,0.903575,0.41965777
79,0.90589166,0.36426777
80,0.3915,0.06541841
81,0.90538335,0.46137
82,0.21943334,0.030455787
83,0.815575,0.25282916
84,0.85705,0.40389913
85,0.061908334,0.006791111
86,0.51855,0.1032152
87,0.91554165,0.39515156
88,0.07725,0.00972263
89,0.8214833,0.24108686
90,0.91704166,0.39875123
91,0.8709,0.41055045
92,0.77453333,0.24426061
93,0.91358334,0.37537283
94,0.94640833,0.5533861
95,0.44715834,0.08475692
96,0.76835835,0.20965879
97,0.9131917,0.37783208
98,0.9207,0.38780227
99,0.79041666,0.22482057
100,0.53624165,0.11666312
101,0.937625,0.55049324
102,0.08420833,0.011010315
103,0.8487,0.31727728
104,0.868775,0.35475165
105,0.93365,0.46318522
106,0.958775,0.64304
107,0.805375,0.24201906
108,0.966125,0.48203552
109,0.37106666,0.057475187
110,0.14925833,0.020514179
111,0.8773583,0.31068286
112,0.73225,0.2071794
113,0.94610834,0.5082134
114,0.67844164,0.1483446
115,0.69250834,0.1642359
116,0.90565,0.5644018
117,0.73795,0.19390637
118,0.2426,0.057868972
119,0.7643833,0.2544158
120,0.89678335,0.394641
121,0.9002417,0.37702265
122,0.946425,0.5505772
123,0.784275,0.27682674
124,0.852475,0.28207025
125,0.908375,0.46506906
126,0.8857833,0.3133481
127,0.91699165,0.4468568
128,0.8981583,0.3842053
129,0.95540833,0.4847703
130,0.9313,0.51322037
131,0.8254667,0.27653152
132,0.6737583,0.15751691
133,0.90085,0.45207193
134,0.277775,0.049027678
135,0.8605667,0.36453658
136,0.93925,0.5042339
137,0.865175,0.26684067
138,0.69925,0.2187792
139,0.70825,0.18561524
140,0.87005836,0.33855307
141,0.83675,0.33595383
142,0.9159667,0.4948282
143,0.83255,0.30790007
144,0.94301665,0.6521235
145,0.8926917,0.4561414
146,0.8141083,0.26139122
147,0.85334164,0.2781618
148,0.75435835,0.224089
149,0.92078334,0.43000117
150,0.193225,0.025125213
151,0.31216666,0.04775187
152,0.056558333,0.0071445354
153,0.94895,0.55719894
154,0.833225,0.3072203
155,0.20615834,0.05316389
156,0.90895,0.4487785
157,0.84484166,0.33117142
158,0.88764167,0.41196257
159,0.788125,0.21871476
160,0.63166666,0.14107372
161,0.908,0.43562597
162,0.9069833,0.3729375
163,0.7050833,0.1836437
164,0.86648333,0.4328614
165,0.91008335,0.41795704
166,0.7517833,0.18854332
167,0.738775,0.19526358
168,0.8336,0.30895975
169,0.9611167,0.6011105
170,0.8282833,0.25799277
171,0.8207167,0.29513213
172,0.8353417,0.28326055
173,0.95300835,0.6101252
174,0.7445,0.22324231
175,0.8768917,0.25621176
176,0.848225,0.30119637
177,0.9726833,0.5650533
178,0.89846665,0.3431802
179,0.17584166,0.027625578
180,0.9585,0.48674148
181,0.046308335,0.004826174
182,0.0212,0.002313386
183,0.85965836,0.36229885
184,0.7354,0.22201711
185,0.8696333,0.31108847
186,0.9464167,0.556687
187,0.12169167,0.01737841
188,0.647925,0.15144071
189,0.89806664,0.39653933
190,0.9658833,0.54948294
191,0.48105833,0.07745044
192,0.4248,0.08177199
193,0.39313334,0.06379925
194,0.911475,0.40367085
195,0.919225,0.5518331
196,0.036716666,0.004489777
197,0.8420917,0.3013815
198,0.6134083,0.13764288
199,0.8902083,0.4110979
200,0.86045,0.35618705
201,0.907225,0.4986609
202,0.83945,0.3576984
203,0.72688335,0.21692269
204,0.730375,0.23234406
205,0.4356,0.079634055
206,0.840775,0.32234576
207,0.90381664,0.43520764
208,0.852725,0.34525508
209,0.8276,0.29837734
210,0.89661664,0.4526639
211,0.93145,0.37149766
212,0.54143333,0.08801955
213,0.858825,0.3711457
214,0.058091667,0.009311304
215,0.820675,0.34440124
216,0.87615,0.28791225
217,0.90795,0.36698064
218,0.92073333,0.41959757
219,0.9130667,0.31915396
220,0.8941583,0.43721995
221,0.11484167,0.013740845
222,0.07603333,0.008800693
223,0.95540833,0.50188667
224,0.93219167,0.41194358
225,0.08363333,0.01045539
226,0.9004667,0.46447003
227,0.876175,0.39236498
228,0.8907667,0.3749224
229,0.9450333,0.5284178
230,0.82596666,0.29739586
231,0.9726083,0.4771899
232,0.086175,0.010464629
233,0.6015083,0.13924119
234,0.766925,0.23683922
235,0.89931667,0.33626255
236,0.9104,0.5276365
237,0.93618333,0.51935416
238,0.8567917,0.38787618
239,0.89305836,0.44248113
240,0.58758336,0.13953237
241,0.8822333,0.35597587
242,0.9144833,0.5190469
243,0.0487,0.007716909
244,0.8821667,0.4447849
245,0.56053334,0.13557647
246,0.142375,0.020301908
247,0.948925,0.4525284
248,0.452225,0.08423076
249,0.8633083,0.36493066
250,0.932475,0.5585589
251,0.84146667,0.3276263
252,0.9253917,0.46809134
253,0.9145167,0.4739335
254,0.9538583,0.4367805
255,0.859825,0.33408746
256,0.28094167,0.048754174
257,0.8873,0.39559066
258,0.9761,0.5629919
259,0.8991,0.48616642
260,0.87121665,0.41586563
261,0.8703333,0.40004846
262,0.8405333,0.37873554
263,0.96466666,0.5488456
264,0.74341667,0.26005378
265,0.88116664,0.35495254
266,0.045208335,0.004942823
267,0.91075,0.43735853
268,0.80155,0.24543111
269,0.20073333,0.027154064
270,0.8904167,0.40470326
271,0.35616666,0.053424127
272,0.91678333,0.5112274
273,0.9226083,0.3960068
274,0.94395834,0.50328475
275,0.93085,0.50053525
276,0.8108583,0.3736951
277,0.34334168,0.057645958
278,0.18153334,0.028628401
279,0.095925,0.011411034
280,0.7725667,0.19788542
281,0.89523333,0.45421067
282,0.95230836,0.48126516
283,0.9035083,0.395709
284,0.9192167,0.4011049
285,0.25604168,0.056683548
286,0.65008336,0.15693516
287,0.20933333,0.03359047
288,0.8907167,0.37276724
289,0.85823333,0.3871317
290,0.78305,0.24209668
291,0.9287083,0.5389703
292,0.91578335,0.40364707
293,0.95715,0.45411813
294,0.774125,0.22215068
295,0.6999,0.1897292
296,0.81605834,0.2608892
297,0.95775,0.6176427
298,0.9410833,0.5659966
299,0.84175,0.32894295
300,0.81595,0.26714677
301,0.90629166,0.41938874
302,0.83863336,0.2868128
303,0.8757833,0.43780872
304,0.63939166,0.13665783
305,0.97585,0.47818574
306,0.8923333,0.36327362
307,0.951875,0.48145875
308,0.7626,0.23764595
309,0.121083334,0.015674943
310,0.727575,0.23834054
311,0.04985,0.0061841877
312,0.945025,0.43712544
313,0.93076664,0.539154
314,0.885325,0.35334763
315,0.20488334,0.03445822
316,0.86105835,0.36202496
317,0.95014167,0.5673575
318,0.076058336,0.009357569
319,0.92181665,0.4255821
320,0.5741,0.11399484
321,0.70154166,0.17253587
322,0.84638333,0.31781936
323,0.219125,0.033504438
324,0.93375,0.49771446
325,0.95428336,0.5533601
326,0.97935,0.60417175
327,0.7469,0.1917224
328,0.53723335,0.11069591
329,0.84554166,0.41030326
330,0.9023,0.38905606
331,0.242675,0.044045825
332,0.933675,0.48257074
333,0.39359167,0.095464766
334,0.8500083,0.33499056
335,0.49440834,0.08305848
336,0.96646667,0.64522266
337,0.10216667,0.013174317
338,0.043983333,0.0058861715
