feature,frequency,magnitude
0,0.9716435,0.6855744
1,0.92719185,0.39344993
2,0.97381365,0.5650335
3,0.63729745,0.15927237
4,0.96831596,0.53721654
5,0.9522569,0.44494706
6,0.97063076,0.5951443
7,0.96686924,0.6474827
8,0.97417533,0.66871464
9,0.08991609,0.012731285
10,0.9469401,0.51417726
11,0.107313365,0.013435803
12,0.96365017,0.5266866
13,0.20760995,0.039554216
14,0.95959926,0.5608695
15,0.3039641,0.05210251
16,0.9198495,0.43339008
17,0.97497106,0.7827767
18,0.47157118,0.08515505
19,0.06604456,0.008546924
20,0.9650246,0.49667487
21,0.9730903,0.6683428
22,0.94259983,0.48695293
23,0.8313079,0.24243051
24,0.97171587,0.58254164
25,0.9160156,0.4527164
26,0.97229457,0.6783546
27,0.87745947,0.36415532
28,0.71516925,0.18116699
29,0.16749856,0.029738171
30,0.94892937,0.50817007
31,0.98043257,0.7096957
32,0.1808449,0.02479769
33,0.93153214,0.32053658
34,0.976888,0.5531732
35,0.59045863,0.16800912
36,0.9595269,0.4965404
37,0.9509187,0.5237538
38,0.77162904,0.23939063
39,0.11993634,0.014637437
40,0.96741176,0.56895536
41,0.9178241,0.34434494
42,0.9771774,0.7340905
43,0.9641927,0.54556996
44,0.97500724,0.66477686
45,0.9019097,0.3404079
46,0.076569736,0.010700966
47,0.76750576,0.18619853
48,0.9336661,0.47969705
49,0.9290003,0.49619824
50,0.08633536,0.01049007
51,0.21498843,0.024940932
52,0.9786241,0.66052717
53,0.088541664,0.011404102
54,0.93449795,0.44217232
55,0.83579284,0.37332895
56,0.96487993,0.4763764
57,0.6380932,0.2068783
58,0.9343533,0.45759818
59,0.45634404,0.10851418
60,0.93124276,0.4373984
61,0.9436849,0.39856488
62,0.97526044,0.58847976
63,0.94140625,0.45193496
64,0.8667173,0.31857917
65,0.9641204,0.56829834
66,0.84971786,0.27217317
67,0.9733796,0.6374222
68,0.9513527,0.5746227
69,0.9441189,0.4889349
70,0.9718605,0.46896434
71,0.6968316,0.17103212
72,0.9441551,0.5249668
73,0.9453487,0.5885694
74,0.9745732,0.6375941
75,0.35850695,0.062405553
76,0.21545862,0.032068748
77,0.95240164,0.60499376
78,0.95496964,0.547435
79,0.89080584,0.39521796
80,0.22204138,0.04114502
81,0.9693287,0.59427524
82,0.12322772,0.020757724
83,0.79991317,0.23500955
84,0.96111834,0.613311
85,0.072157115,0.009147653
86,0.6181279,0.1416897
87,0.96867764,0.45456216
88,0.076063365,0.010060035
89,0.92903644,0.38694072
90,0.9678096,0.5255423
91,0.926577,0.49807394
92,0.9392361,0.4294602
93,0.93243635,0.39440233
94,0.9672309,0.5844505
95,0.31640625,0.051190622
96,0.8634259,0.27537537
97,0.9232856,0.40773526
98,0.8744213,0.34509546
99,0.89127606,0.38019806
100,0.71542245,0.18582554
101,0.96997976,0.5808738
102,0.08572049,0.010585968
103,0.9184751,0.4166971
104,0.9666884,0.52129066
105,0.9660735,0.5467851
106,0.978805,0.73096126
107,0.91456884,0.31218374
108,0.9478443,0.4683969
