category,pair_id,feature,is_target,alpha,delta_contrast
code,p1,6631,1,0.0,0.5625
code,p2,6631,1,0.0,0.375
code,p3,6631,1,0.0,-1.25
code,p4,6631,1,0.0,0.828125
code,p5,6631,1,0.0,0.0625
code,p6,6631,1,0.0,0.796875
code,p7,6631,1,0.0,-0.75
code,p8,6631,1,0.0,-0.5625
code,p9,6631,1,0.0,0.265625
code,p10,6631,1,0.0,0.09375
code,p11,6631,1,0.0,-0.25
code,p12,6631,1,0.0,-0.3125
code,p13,6631,1,0.0,-0.09375
code,p14,6631,1,0.0,-0.3046875
code,p15,6631,1,0.0,-0.125
code,p16,6631,1,0.0,-0.25
code,p17,6631,1,0.0,-0.15625
code,p18,6631,1,0.0,0.21875
code,p19,6631,1,0.0,-0.28125
code,p20,6631,1,0.0,-0.21875
code,p21,6631,1,0.0,-0.21875
code,p22,6631,1,0.0,0.5625
code,p23,6631,1,0.0,0.15625
code,p24,6631,1,0.0,-0.03125
code,p25,6631,1,0.0,-0.28125
code,p26,6631,1,0.0,0.53125
code,p27,6631,1,0.0,-0.03125
code,p28,6631,1,0.0,-0.546875
code,p29,6631,1,0.0,-0.28125
code,p30,6631,1,0.0,0.640625
code,p31,6631,1,0.0,0.78125
code,p32,6631,1,0.0,0.5
code,p33,6631,1,0.0,0.75
code,p34,6631,1,0.0,-1.046875
code,p35,6631,1,0.0,-1.0
code,p36,6631,1,0.0,-0.28125
code,p37,6631,1,0.0,-0.3125
code,p38,6631,1,0.0,0.09375
code,p39,6631,1,0.0,-0.046875
code,p40,6631,1,0.0,-0.875
code,p41,6631,1,0.0,-0.15625
code,p42,6631,1,0.0,0.0
code,p43,6631,1,0.0,-1.0
code,p44,6631,1,0.0,0.59375
code,p45,6631,1,0.0,0.21875
code,p46,6631,1,0.0,-0.0625
code,p47,6631,1,0.0,-0.1875
code,p48,6631,1,0.0,-0.25
code,p49,6631,1,0.0,-0.8125
code,p50,6631,1,0.0,-0.75
code,p51,6631,1,0.0,0.578125
code,p52,6631,1,0.0,0.0625
code,p53,6631,1,0.0,-0.21875
code,p54,6631,1,0.0,-0.65625
code,p55,6631,1,0.0,-0.0625
code,p56,6631,1,0.0,-0.03125
code,p57,6631,1,0.0,0.4375
code,p58,6631,1,0.0,-0.09375
code,p59,6631,1,0.0,-0.53125
code,p60,6631,1,0.0,-0.234375
code,p61,6631,1,0.0,-0.65625
code,p62,6631,1,0.0,0.0
code,p63,6631,1,0.0,-0.875
code,p64,6631,1,0.0,-0.125
code,p65,6631,1,0.0,-0.5625
code,p66,6631,1,0.0,0.984375
code,p67,6631,1,0.0,-0.25
code,p68,6631,1,0.0,-0.1875
code,p69,6631,1,0.0,-0.6875
code,p70,6631,1,0.0,-0.125
code,p71,6631,1,0.0,0.125
code,p72,6631,1,0.0,-0.3125
code,p73,6631,1,0.0,0.1875
code,p74,6631,1,0.0,-0.734375
code,p75,6631,1,0.0,0.1875
code,p76,6631,1,0.0,-0.78125
code,p77,6631,1,0.0,0.65625
