seed,feature,group,condition,alpha,mean_delta
7,6631,target,target,0.0,-0.39622941613197327
7,6631,target,wrong_layer,0.0,-0.07555285841226578
7,6631,target,wrong_hook,0.0,0.0
7,743,control,target,0.0,0.3509361743927002
7,1692,control,target,0.0,-0.06868043541908264
7,3518,control,target,0.0,0.06952261179685593
7,5052,control,target,0.0,-0.1620662659406662
7,6631,target,target,0.5,-0.1893947869539261
7,6631,target,wrong_layer,0.5,-0.05087261274456978
7,6631,target,wrong_hook,0.5,0.0
7,743,control,target,0.5,0.1681416779756546
7,1692,control,target,0.5,-0.05010814964771271
7,3518,control,target,0.5,0.037109870463609695
7,5052,control,target,0.5,-0.07052858173847198
7,6631,target,target,1.0,0.0
7,6631,target,wrong_layer,1.0,0.0
7,6631,target,wrong_hook,1.0,0.0
7,743,control,target,1.0,0.0
7,1692,control,target,1.0,0.0
7,3518,control,target,1.0,0.0
7,5052,control,target,1.0,0.0
7,6631,target,target,1.5,0.028769060969352722
7,6631,target,wrong_layer,1.5,-0.003967513795942068
7,6631,target,wrong_hook,1.5,0.0
7,743,control,target,1.5,-0.14771409332752228
7,1692,control,target,1.5,0.007076139096170664
7,3518,control,target,1.5,-0.05574337765574455
7,5052,control,target,1.5,0.03150646761059761
7,6631,target,target,2.0,0.1212548092007637
7,6631,target,wrong_layer,2.0,-0.011834606528282166
7,6631,target,wrong_hook,2.0,0.0
7,743,control,target,2.0,-0.27094215154647827
7,1692,control,target,2.0,0.027185305953025818
7,3518,control,target,2.0,-0.08766881376504898
7,5052,control,target,2.0,0.0652710422873497
17,6631,target,target,0.0,-0.39622941613197327
17,6631,target,wrong_layer,0.0,-0.07555285841226578
17,6631,target,wrong_hook,0.0,0.0
17,743,control,target,0.0,0.3509361743927002
17,1692,control,target,0.0,-0.06868043541908264
17,3518,control,target,0.0,0.06952261179685593
17,5052,control,target,0.0,-0.1620662659406662
17,6631,target,target,0.5,-0.1893947869539261
17,6631,target,wrong_layer,0.5,-0.05087261274456978
17,6631,target,wrong_hook,0.5,0.0
17,743,control,target,0.5,0.1681416779756546
17,1692,control,target,0.5,-0.05010814964771271
17,3518,control,target,0.5,0.037109870463609695
17,5052,control,target,0.5,-0.07052858173847198
17,6631,target,target,1.0,0.0
17,6631,target,wrong_layer,1.0,0.0
17,6631,target,wrong_hook,1.0,0.0
17,743,control,target,1.0,0.0
17,1692,control,target,1.0,0.0
17,3518,control,target,1.0,0.0
17,5052,control,target,1.0,0.0
17,6631,target,target,1.5,0.028769060969352722
17,6631,target,wrong_layer,1.5,-0.003967513795942068
17,6631,target,wrong_hook,1.5,0.0
17,743,control,target,1.5,-0.14771409332752228
17,1692,control,target,1.5,0.007076139096170664
17,3518,control,target,1.5,-0.05574337765574455
17,5052,control,target,1.5,0.03150646761059761
17,6631,target,target,2.0,0.1212548092007637
17,6631,target,wrong_layer,2.0,-0.011834606528282166
17,6631,target,wrong_hook,2.0,0.0
17,743,control,target,2.0,-0.27094215154647827
17,1692,control,target,2.0,0.027185305953025818
17,3518,control,target,2.0,-0.08766881376504898
17,5052,control,target,2.0,0.0652710422873497
27,6631,target,target,0.0,-0.39622941613197327
27,6631,target,wrong_layer,0.0,-0.07555285841226578
27,6631,target,wrong_hook,0.0,0.0
27,743,control,target,0.0,0.3509361743927002
27,1692,control,target,0.0,-0.06868043541908264
27,3518,control,target,0.0,0.06952261179685593
27,5052,control,target,0.0,-0.1620662659406662
27,6631,target,target,0.5,-0.1893947869539261
27,6631,target,wrong_layer,0.5,-0.05087261274456978
27,6631,target,wrong_hook,0.5,0.0
27,743,control,target,0.5,0.1681416779756546
27,1692,control,target,0.5,-0.05010814964771271
27,3518,control,target,0.5,0.037109870463609695
27,5052,control,target,0.5,-0.07052858173847198
27,6631,target,target,1.0,0.0
27,6631,target,wrong_layer,1.0,0.0
27,6631,target,wrong_hook,1.0,0.0
27,743,control,target,1.0,0.0
27,1692,control,target,1.0,0.0
27,3518,control,target,1.0,0.0
27,5052,control,target,1.0,0.0
27,6631,target,target,1.5,0.028769060969352722
27,6631,target,wrong_layer,1.5,-0.003967513795942068
27,6631,target,wrong_hook,1.5,0.0
27,743,control,target,1.5,-0.14771409332752228
27,1692,control,target,1.5,0.007076139096170664
27,3518,control,target,1.5,-0.05574337765574455
27,5052,control,target,1.5,0.03150646761059761
27,6631,target,target,2.0,0.1212548092007637
27,6631,target,wrong_layer,2.0,-0.011834606528282166
27,6631,target,wrong_hook,2.0,0.0
27,743,control,target,2.0,-0.27094215154647827
27,1692,control,target,2.0,0.027185305953025818
27,3518,control,target,2.0,-0.08766881376504898
27,5052,control,target,2.0,0.0652710422873497
37,6631,target,target,0.0,-0.39622941613197327
37,6631,target,wrong_layer,0.0,-0.07555285841226578
37,6631,target,wrong_hook,0.0,0.0
37,743,control,target,0.0,0.3509361743927002
37,1692,control,target,0.0,-0.06868043541908264
37,3518,control,target,0.0,0.06952261179685593
37,5052,control,target,0.0,-0.1620662659406662
37,6631,target,target,0.5,-0.1893947869539261
37,6631,target,wrong_layer,0.5,-0.05087261274456978
37,6631,target,wrong_hook,0.5,0.0
37,743,control,target,0.5,0.1681416779756546
37,1692,control,target,0.5,-0.05010814964771271
37,3518,control,target,0.5,0.037109870463609695
37,5052,control,target,0.5,-0.07052858173847198
37,6631,target,target,1.0,0.0
37,6631,target,wrong_layer,1.0,0.0
37,6631,target,wrong_hook,1.0,0.0
37,743,control,target,1.0,0.0
37,1692,control,target,1.0,0.0
37,3518,control,target,1.0,0.0
37,5052,control,target,1.0,0.0
37,6631,target,target,1.5,0.028769060969352722
37,6631,target,wrong_layer,1.5,-0.003967513795942068
37,6631,target,wrong_hook,1.5,0.0
37,743,control,target,1.5,-0.14771409332752228
37,1692,control,target,1.5,0.007076139096170664
37,3518,control,target,1.5,-0.05574337765574455
37,5052,control,target,1.5,0.03150646761059761
37,6631,target,target,2.0,0.1212548092007637
37,6631,target,wrong_layer,2.0,-0.011834606528282166
37,6631,target,wrong_hook,2.0,0.0
37,743,control,target,2.0,-0.27094215154647827
37,1692,control,target,2.0,0.027185305953025818
37,3518,control,target,2.0,-0.08766881376504898
37,5052,control,target,2.0,0.0652710422873497
47,6631,target,target,0.0,-0.39622941613197327
47,6631,target,wrong_layer,0.0,-0.07555285841226578
47,6631,target,wrong_hook,0.0,0.0
47,743,control,target,0.0,0.3509361743927002
47,1692,control,target,0.0,-0.06868043541908264
47,3518,control,target,0.0,0.06952261179685593
47,5052,control,target,0.0,-0.1620662659406662
47,6631,target,target,0.5,-0.1893947869539261
47,6631,target,wrong_layer,0.5,-0.05087261274456978
47,6631,target,wrong_hook,0.5,0.0
47,743,control,target,0.5,0.1681416779756546
47,1692,control,target,0.5,-0.05010814964771271
47,3518,control,target,0.5,0.037109870463609695
47,5052,control,target,0.5,-0.07052858173847198
47,6631,target,target,1.0,0.0
47,6631,target,wrong_layer,1.0,0.0
47,6631,target,wrong_hook,1.0,0.0
47,743,control,target,1.0,0.0
47,1692,control,target,1.0,0.0
