category,feature,kind,decoder_cosine_to_target,mean_delta_holdout
sports,16242,target,1.0,-0.03324386477470398
sports,1546,neighbor,0.4032750725746155,0.016321739181876183
sports,4717,neighbor,0.335696280002594,0.0005037685041315854
sports,4394,neighbor,0.2445807307958603,0.0
sports,7177,neighbor,0.22391557693481445,-0.043974440544843674
sports,6535,matched_control,,0.01341878343373537
code,6631,target,1.0,0.028769060969352722
code,5798,neighbor,0.07062193751335144,0.0
code,10461,neighbor,0.05230993404984474,0.0
code,10192,neighbor,0.05081316456198692,0.0
code,14537,neighbor,0.05002410709857941,-0.004503607749938965
code,743,matched_control,,-0.14771409332752228
safety,14033,target,1.0,0.012115955352783203
safety,14984,neighbor,0.25020766258239746,0.010775208473205566
safety,4799,neighbor,0.19274777173995972,0.02035059593617916
safety,13012,neighbor,0.19237124919891357,0.0
safety,3338,neighbor,0.1834011971950531,0.0
safety,12257,matched_control,,0.00854867696762085
uncertainty,4223,target,1.0,0.006461302284151316
uncertainty,8969,neighbor,0.35488611459732056,-0.00395435094833374
uncertainty,10100,neighbor,0.3416961133480072,-0.014849324710667133
uncertainty,14511,neighbor,0.22444644570350647,0.0
uncertainty,6966,neighbor,0.22237083315849304,0.018792947754263878
uncertainty,4750,matched_control,,-0.0020069878082722425
