category,feature,is_target,alpha,condition,split,mean_delta,ci_lo,ci_hi
sports,16242,1,0.0,target,train,-0.02744028903543949,-0.2351621977984905,0.13493305519223206
sports,16242,1,0.0,target,holdout,-0.06654319167137146,-0.24266995377838613,0.11653782725334168
sports,16242,1,0.0,wrong_layer,train,0.11607596278190613,0.05355261340737343,0.1865546055138111
sports,16242,1,0.0,wrong_layer,holdout,0.10340603440999985,0.02466649254783988,0.19440897293388837
sports,16242,1,0.0,wrong_hook,train,0.0,0.0,0.0
sports,16242,1,0.0,wrong_hook,holdout,0.0,0.0,0.0
sports,16242,1,1.5,target,train,-0.07847381383180618,-0.16696193553507327,0.016734138270840034
sports,16242,1,1.5,target,holdout,-0.03324386477470398,-0.12419099844992161,0.05203634900972247
sports,16242,1,1.5,wrong_layer,train,-0.05905725434422493,-0.10081652496010066,-0.021374495700001717
sports,16242,1,1.5,wrong_layer,holdout,-0.034416526556015015,-0.10593834444880486,0.013438041554763913
sports,16242,1,1.5,wrong_hook,train,0.0,0.0,0.0
sports,16242,1,1.5,wrong_hook,holdout,0.0,0.0,0.0
sports,6535,0,0.0,target,train,-0.0028090972919017076,-0.027711185161024332,0.027516680583357808
sports,6535,0,0.0,target,holdout,0.0012882748851552606,-0.03888050811365247,0.037516727577894926
sports,6535,0,0.0,wrong_layer,train,-0.0020516812801361084,-0.03366268202662468,0.029018228501081465
sports,6535,0,0.0,wrong_layer,holdout,-0.0020584464073181152,-0.040877129603177305,0.03163229841738939
sports,6535,0,0.0,wrong_hook,train,0.0,0.0,0.0
sports,6535,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
sports,6535,0,1.5,target,train,0.0031251509208232164,-0.01378297850023955,0.021197149762883782
sports,6535,0,1.5,target,holdout,0.01341878343373537,-0.011032795114442705,0.039670189004391426
sports,6535,0,1.5,wrong_layer,train,0.011446048505604267,-0.012260909425094724,0.036212213523685935
sports,6535,0,1.5,wrong_layer,holdout,0.02862381935119629,-0.0026379154878668487,0.06155461715534329
sports,6535,0,1.5,wrong_hook,train,0.0,0.0,0.0
sports,6535,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
sports,11186,0,0.0,target,train,-0.045829761773347855,-0.07309207506477833,-0.021148819616064428
sports,11186,0,0.0,target,holdout,-0.02023591659963131,-0.04564038310199976,0.0041739128530025316
sports,11186,0,0.0,wrong_layer,train,0.0,0.0,0.0
sports,11186,0,0.0,wrong_layer,holdout,0.0,0.0,0.0
sports,11186,0,0.0,wrong_hook,train,0.0,0.0,0.0
sports,11186,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
sports,11186,0,1.5,target,train,0.012353479862213135,0.0013855343073373662,0.02685721344314515
sports,11186,0,1.5,target,holdout,-0.012313594110310078,-0.035141945164650676,0.006917271367274224
sports,11186,0,1.5,wrong_layer,train,0.0,0.0,0.0
sports,11186,0,1.5,wrong_layer,holdout,0.0,0.0,0.0
sports,11186,0,1.5,wrong_hook,train,0.0,0.0,0.0
sports,11186,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
sports,9149,0,0.0,target,train,0.0010863045463338494,-0.008973900973796845,0.015574555890634655
sports,9149,0,0.0,target,holdout,-0.002730210544541478,-0.01878569512628019,0.012268134159967302
sports,9149,0,0.0,wrong_layer,train,-0.0026058752555400133,-0.006755955168046057,0.0
sports,9149,0,0.0,wrong_layer,holdout,-0.001696983934380114,-0.005524635314941406,0.00031494499198743084
sports,9149,0,0.0,wrong_hook,train,0.0,0.0,0.0
sports,9149,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
sports,9149,0,1.5,target,train,0.003658513305708766,-0.007745325413998217,0.014875716669484972
sports,9149,0,1.5,target,holdout,-0.0038031439762562513,-0.00961542099248618,0.00013098121162329326
sports,9149,0,1.5,wrong_layer,train,0.00101548433303833,-0.0013698935508728027,0.0045247673988342285
sports,9149,0,1.5,wrong_layer,holdout,-0.0007251997594721615,-0.005280502291861921,0.00251975539140403
sports,9149,0,1.5,wrong_hook,train,0.0,0.0,0.0
sports,9149,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
sports,5856,0,0.0,target,train,0.005398849491029978,0.0,0.014257351867854595
sports,5856,0,0.0,target,holdout,0.0012323955306783319,-0.011356581933796406,0.015053768642246723
sports,5856,0,0.0,wrong_layer,train,-0.009103536605834961,-0.02486805059015751,0.003656546352431178
sports,5856,0,0.0,wrong_layer,holdout,0.00519070029258728,-4.70280647277832e-05,0.01561971679329872
sports,5856,0,0.0,wrong_hook,train,0.0,0.0,0.0
sports,5856,0,0.0,wrong_hook,holdout,0.0,0.0,0.0
sports,5856,0,1.5,target,train,0.003030021907761693,-0.0005850791931152344,0.009413798339664936
sports,5856,0,1.5,target,holdout,-0.007382551673799753,-0.026499727740883827,0.010075688362121582
sports,5856,0,1.5,wrong_layer,train,-0.006351014133542776,-0.01723418980836868,0.0
sports,5856,0,1.5,wrong_layer,holdout,0.0052443742752075195,-0.002417325973510742,0.018218955025076866
sports,5856,0,1.5,wrong_hook,train,0.0,0.0,0.0
sports,5856,0,1.5,wrong_hook,holdout,0.0,0.0,0.0
code,6631,1,0.0,target,train,-0.09872572869062424,-0.39041699245572087,0.20656617246568199
code,6631,1,0.0,target,holdout,-0.39622941613197327,-0.7016872078180313,-0.15483857244253157
code,6631,1,0.0,wrong_layer,train,-0.20267610251903534,-0.40296380445361135,0.04515875848010171
code,6631,1,0.0,wrong_layer,holdout,-0.07555285841226578,-0.2654842630028725,0.10052091162651776
code,6631,1,0.0,wrong_hook,train,0.0,0.0,0.0
code,6631,1,0.0,wrong_hook,holdout,0.0,0.0,0.0
code,6631,1,1.5,target,train,0.04983775317668915,-0.043476625904440874,0.14361705482006065
code,6631,1,1.5,target,holdout,0.028769060969352722,-0.030433387961238623,0.08746275957673788
code,6631,1,1.5,wrong_layer,train,0.004669502377510071,-0.06725847814232111,0.07884194627404213
code,6631,1,1.5,wrong_layer,holdout,-0.003967513795942068,-0.06934171225875616,0.06964460127055641
code,6631,1,1.5,wrong_hook,train,0.0,0.0,0.0
code,6631,1,1.5,wrong_hook,holdout,0.0,0.0,0.0
code,743,0,0.0,target,train,0.41522911190986633,0.2628217287361622,0.5764555901288985
code,743,0,0.0,target,holdout,0.3509361743927002,0.09060927852988243,0.6037610858678817
code,743,0,0.0,wrong_layer,train,0.23871706426143646,0.12841313220560552,0.36073530241847035
code,743,0,0.0,wrong_layer,holdout,0.1486445516347885,0.0336565300822258,0.2806549787521362
code,743,0,0.0,wrong_hook,train,0.07072705030441284,-0.18679782040417195,0.30211871191859246
