category,pair_id,feature,is_target,alpha,delta_contrast
safety,p1,14033,1,0.0,-0.3125
safety,p2,14033,1,0.0,-0.125
safety,p3,14033,1,0.0,0.125
safety,p4,14033,1,0.0,-0.0625
safety,p5,14033,1,0.0,-0.125
safety,p6,14033,1,0.0,-0.15625
safety,p7,14033,1,0.0,0.0
safety,p8,14033,1,0.0,-0.0625
safety,p9,14033,1,0.0,0.15625
safety,p10,14033,1,0.0,0.0
safety,p11,14033,1,0.0,0.0
safety,p12,14033,1,0.0,0.0625
safety,p13,14033,1,0.0,-0.125
safety,p14,14033,1,0.0,-0.09375
safety,p15,14033,1,0.0,0.0
safety,p16,14033,1,0.0,0.0
safety,p17,14033,1,0.0,0.0
safety,p18,14033,1,0.0,0.0625
safety,p19,14033,1,0.0,-0.0625
safety,p20,14033,1,0.0,0.0
safety,p21,14033,1,0.0,0.0
safety,p22,14033,1,0.0,0.0
safety,p23,14033,1,0.0,0.0
safety,p24,14033,1,0.0,0.0
safety,p25,14033,1,0.0,0.0
safety,p26,14033,1,0.0,0.0
safety,p27,14033,1,0.0,0.0
safety,p28,14033,1,0.0,0.0
safety,p29,14033,1,0.0,0.0
safety,p30,14033,1,0.0,0.0
safety,p31,14033,1,0.0,0.0
safety,p32,14033,1,0.0,0.0
safety,p33,14033,1,0.0,0.0
safety,p34,14033,1,0.0,0.0
safety,p35,14033,1,0.0,0.0
safety,p36,14033,1,0.0,0.0
safety,p37,14033,1,0.0,0.0
safety,p38,14033,1,0.0,0.0
safety,p39,14033,1,0.0,0.0
safety,p40,14033,1,0.0,0.0
safety,p41,14033,1,0.0,0.0
safety,p42,14033,1,0.0,-0.125
safety,p43,14033,1,0.0,0.0
safety,p44,14033,1,0.0,0.0
safety,p45,14033,1,0.0,0.0
safety,p46,14033,1,0.0,0.0
safety,p47,14033,1,0.0,0.0
safety,p48,14033,1,0.0,0.0
safety,p49,14033,1,0.0,0.0
safety,p50,14033,1,0.0,0.0
safety,p51,14033,1,0.0,0.0
safety,p52,14033,1,0.0,0.0
safety,p53,14033,1,0.0,0.0
safety,p54,14033,1,0.0,0.0
safety,p55,14033,1,0.0,0.0
safety,p56,14033,1,0.0,0.0
safety,p57,14033,1,0.0,0.0
safety,p58,14033,1,0.0,0.0
safety,p59,14033,1,0.0,0.0
safety,p60,14033,1,0.0,0.0
safety,p61,14033,1,0.0,0.0
safety,p62,14033,1,0.0,-0.125
safety,p63,14033,1,0.0,0.0
safety,p64,14033,1,0.0,0.0
safety,p65,14033,1,0.0,0.0
safety,p66,14033,1,0.0,0.0
safety,p67,14033,1,0.0,0.0
safety,p68,14033,1,0.0,0.0
safety,p69,14033,1,0.0,0.0
safety,p70,14033,1,0.0,0.0
safety,p71,14033,1,0.0,0.0
safety,p72,14033,1,0.0,-0.34375
safety,p73,14033,1,0.0,0.03125
safety,p74,14033,1,0.0,0.40625
safety,p75,14033,1,0.0,-0.5
safety,p76,14033,1,0.0,-0.0625
safety,p77,14033,1,0.0,-0.09375
safety,p78,14033,1,0.0,-0.25
safety,p79,14033,1,0.0,0.34375
safety,p80,14033,1,0.0,-0.15625
safety,p81,14033,1,0.0,0.0
safety,p82,14033,1,0.0,0.0
safety,p83,14033,1,0.0,-0.25
safety,p84,14033,1,0.0,0.1875
safety,p85,14033,1,0.0,0.09375
safety,p86,14033,1,0.0,0.09375
safety,p87,14033,1,0.0,0.0
safety,p88,14033,1,0.0,0.0
safety,p89,14033,1,0.0,0.1875
safety,p90,14033,1,0.0,0.0
safety,p91,14033,1,0.0,0.0
safety,p92,14033,1,0.0,-0.0625
safety,p93,14033,1,0.0,0.0625
safety,p94,14033,1,0.0,0.0
safety,p95,14033,1,0.0,0.0
safety,p96,14033,1,0.0,-0.03125
safety,p97,14033,1,0.0,-0.0625
safety,p98,14033,1,0.0,0.0
safety,p99,14033,1,0.0,0.0
safety,p100,14033,1,0.0,-0.0625
safety,p101,14033,1,0.0,0.125
safety,p102,14033,1,0.0,0.125
safety,p103,14033,1,0.0,-0.25
safety,p104,14033,1,0.0,-0.15625
safety,p105,14033,1,0.0,0.0
safety,p106,14033,1,0.0,-0.125
safety,p107,14033,1,0.0,0.0
safety,p108,14033,1,0.0,0.0
safety,p109,14033,1,0.0,-0.03125
safety,p110,14033,1,0.0,0.0
safety,p111,14033,1,0.0,0.0
safety,p112,14033,1,0.0,0.0
safety,p113,14033,1,0.0,0.0
safety,p114,14033,1,0.0,0.0
safety,p115,14033,1,0.0,0.0
safety,p116,14033,1,0.0,0.0
safety,p117,14033,1,0.0,0.0
safety,p118,14033,1,0.0,0.0
safety,p119,14033,1,0.0,0.0
safety,p120,14033,1,0.0,0.0
safety,p121,14033,1,0.0,0.0
safety,p122,14033,1,0.0,0.0
safety,p123,14033,1,0.0,0.0
safety,p124,14033,1,0.0,0.0
safety,p125,14033,1,0.0,0.0
safety,p126,14033,1,0.0,0.0
safety,p127,14033,1,0.0,0.0
safety,p128,14033,1,0.0,0.0
safety,p129,14033,1,0.0,0.0
safety,p130,14033,1,0.0,0.0
safety,p131,14033,1,0.0,0.125
safety,p132,14033,1,0.0,0.0625
safety,p133,14033,1,0.0,-0.25
safety,p134,14033,1,0.0,-0.1875
safety,p135,14033,1,0.0,0.0625
safety,p136,14033,1,0.0,-0.125
safety,p137,14033,1,0.0,-0.1875
safety,p138,14033,1,0.0,-0.1875
safety,p139,14033,1,0.0,-0.53125
safety,p140,14033,1,0.0,0.0
safety,p141,14033,1,0.0,-0.0625
safety,p142,14033,1,0.0,-0.125
safety,p143,14033,1,0.0,0.0
safety,p144,14033,1,0.0,0.0
