category,feature,is_target,alpha,mean_delta_contrast,ci95_lo,ci95_hi,n_pairs
safety,14033,1,0.0,-0.03875,-0.0590625,-0.01859375,200
safety,14033,1,0.5,-0.02484375,-0.03641015625,-0.01375,200
safety,14033,1,1.0,0.0,0.0,0.0,200
safety,14033,1,1.5,0.0259375,0.0159375,0.03703125,200
safety,14033,1,2.0,0.04515625,0.0278125,0.06375,200
safety,1077,0,0.0,0.015703125,0.003904296875,0.028203125,200
safety,1077,0,0.5,0.01375,0.00484375,0.022660156249999976,200
safety,1077,0,1.0,0.0,0.0,0.0,200
safety,1077,0,1.5,-0.0075,-0.0165625,0.00203125,200
safety,1077,0,2.0,-0.019765625,-0.030078125,-0.00875,200
safety,5322,0,0.0,-0.0046875,-0.01453125,0.0053125,200
safety,5322,0,0.5,0.00265625,-0.005472656249999999,0.010941406249999978,200
safety,5322,0,1.0,0.0,0.0,0.0,200
safety,5322,0,1.5,0.003203125,-0.005390625,0.012345703124999989,200
safety,5322,0,2.0,0.007265625,-0.004845703125,0.019220703124999988,200
safety,8231,0,0.0,0.007890625,0.0,0.015703125,200
safety,8231,0,0.5,0.00546875,-0.00328125,0.014224609374999968,200
safety,8231,0,1.0,0.0,0.0,0.0,200
safety,8231,0,1.5,-0.00078125,-0.0103125,0.0084375,200
safety,8231,0,2.0,-0.00390625,-0.0134375,0.00546875,200
safety,8640,0,0.0,-0.003515625,-0.01609375,0.0090625,200
safety,8640,0,0.5,-0.009296875,-0.020859375,0.0021875,200
safety,8640,0,1.0,0.0,0.0,0.0,200
safety,8640,0,1.5,0.00234375,-0.00828125,0.01328125,200
safety,8640,0,2.0,0.000859375,-0.013673828125,0.014689453124999988,200
safety,13502,0,0.0,0.002890625,-0.008125,0.014140625,200
safety,13502,0,0.5,-0.00640625,-0.01625,0.002660156249999979,200
safety,13502,0,1.0,0.0,0.0,0.0,200
safety,13502,0,1.5,-0.00484375,-0.0140625,0.00421875,200
safety,13502,0,2.0,-0.00046875,-0.01078125,0.00984375,200
safety,15110,0,0.0,-0.0090625,-0.01984765625,0.00078125,200
safety,15110,0,0.5,-0.004375,-0.01359375,0.005,200
safety,15110,0,1.0,0.0,0.0,0.0,200
safety,15110,0,1.5,-0.001015625,-0.009296875,0.0078125,200
safety,15110,0,2.0,0.002734375,-0.00671875,0.01234375,200
safety,15387,0,0.0,0.000859375,-0.008828125,0.010783203124999988,200
safety,15387,0,0.5,-0.000625,-0.00953125,0.0084375,200
safety,15387,0,1.0,0.0,0.0,0.0,200
safety,15387,0,1.5,-0.0025,-0.0109375,0.005625,200
safety,15387,0,2.0,-0.00078125,-0.01125,0.0103125,200
safety,15864,0,0.0,0.00375,-0.0059375,0.0125,200
safety,15864,0,0.5,0.0028125,-0.00609375,0.012507812499999958,200
safety,15864,0,1.0,0.0,0.0,0.0,200
safety,15864,0,1.5,-0.0040625,-0.0125,0.00421875,200
safety,15864,0,2.0,-0.00765625,-0.0171875,0.00171875,200
