category,feature,alpha,prompt_idx,base_contrast,contrast,delta_contrast
sports,16242,0.0,0,10.125,10.125,0.0
sports,16242,0.5,0,10.125,10.125,0.0
sports,16242,1.0,0,10.125,10.125,0.0
sports,16242,1.5,0,10.125,10.0,-0.125
sports,16242,2.0,0,10.125,9.6875,-0.4375
sports,16242,0.0,1,8.1875,8.625,0.4375
sports,16242,0.5,1,8.1875,8.4375,0.25
sports,16242,1.0,1,8.1875,8.1875,0.0
sports,16242,1.5,1,8.1875,7.875,-0.3125
sports,16242,2.0,1,8.1875,7.375,-0.8125
sports,16242,0.0,2,1.6875,3.3125,1.625
sports,16242,0.5,2,1.6875,2.5,0.8125
sports,16242,1.0,2,1.6875,1.6875,0.0
sports,16242,1.5,2,1.6875,0.5,-1.1875
sports,16242,2.0,2,1.6875,-0.375,-2.0625
sports,16242,0.0,3,13.375,13.5,0.125
sports,16242,0.5,3,13.375,13.375,0.0
sports,16242,1.0,3,13.375,13.375,0.0
sports,16242,1.5,3,13.375,13.3125,-0.0625
sports,16242,2.0,3,13.375,13.125,-0.25
sports,16242,0.0,4,2.25,2.5,0.25
sports,16242,0.5,4,2.25,2.375,0.125
sports,16242,1.0,4,2.25,2.25,0.0
sports,16242,1.5,4,2.25,2.0625,-0.1875
sports,16242,2.0,4,2.25,2.0625,-0.1875
sports,16242,0.0,5,6.6875,6.75,0.0625
sports,16242,0.5,5,6.6875,6.6875,0.0
sports,16242,1.0,5,6.6875,6.6875,0.0
sports,16242,1.5,5,6.6875,6.8125,0.125
sports,16242,2.0,5,6.6875,6.625,-0.0625
sports,16242,0.0,6,7.625,7.625,0.0
sports,16242,0.5,6,7.625,7.75,0.125
sports,16242,1.0,6,7.625,7.625,0.0
sports,16242,1.5,6,7.625,7.375,-0.25
sports,16242,2.0,6,7.625,7.25,-0.375
sports,16242,0.0,7,6.25,6.375,0.125
sports,16242,0.5,7,6.25,6.375,0.125
sports,16242,1.0,7,6.25,6.25,0.0
sports,16242,1.5,7,6.25,6.125,-0.125
