category,feature,alpha,delta_contrast_mean,delta_contrast_std,n
code,6631,0.0,-0.09765625,2.1476885870025644,8
code,6631,0.5,0.17578125,0.6626889681643913,8
code,6631,1.0,0.0,0.0,8
code,6631,1.5,-0.15625,0.6689877748188997,8
code,6631,2.0,-0.484375,1.0930482442626739,8
safety,14033,0.0,0.0703125,0.20979768102694965,8
safety,14033,0.5,0.015625,0.09882117688026186,8
safety,14033,1.0,0.0,0.0,8
safety,14033,1.5,-0.1171875,0.1781524101717403,8
safety,14033,2.0,-0.203125,0.3935160869828395,8
sports,16242,0.0,0.328125,0.5435806386492125,8
sports,16242,0.5,0.1796875,0.2702460436475303,8
sports,16242,1.0,0.0,0.0,8
sports,16242,1.5,-0.265625,0.3949316170463656,8
sports,16242,2.0,-0.5078125,0.6866370395683172,8
uncertainty,4223,0.0,-0.1484375,0.19173054706689655,8
uncertainty,4223,0.5,-0.0234375,0.15999965122729845,8
uncertainty,4223,1.0,0.0,0.0,8
uncertainty,4223,1.5,0.0625,0.0747017880833996,8
uncertainty,4223,2.0,0.0859375,0.14538088828512305,8
