pair_id,feature,is_target,alpha,base_contrast,contrast,delta_contrast
p1,16242,1,0.0,6.265625,6.28125,0.015625
p2,16242,1,0.0,5.5,5.46875,-0.03125
p3,16242,1,0.0,4.84375,4.625,-0.21875
p4,16242,1,0.0,7.671875,7.71875,0.046875
p5,16242,1,0.0,5.34375,5.4375,0.09375
p6,16242,1,0.0,3.625,3.9375,0.3125
p7,16242,1,0.0,6.96875,7.0625,0.09375
p8,16242,1,0.0,4.46875,4.71875,0.25
p9,16242,1,0.0,5.5625,5.75,0.1875
p10,16242,1,0.0,3.625,3.9375,0.3125
p11,16242,1,0.0,5.5625,6.25,0.6875
p12,16242,1,0.0,5.75,5.75,0.0
p13,16242,1,0.0,7.125,7.3125,0.1875
p14,16242,1,0.0,4.0,4.25,0.25
p15,16242,1,0.0,10.5,10.8125,0.3125
p16,16242,1,0.0,9.84375,10.09375,0.25
p17,16242,1,0.0,8.4375,8.5625,0.125
p18,16242,1,0.0,7.75,8.0,0.25
p19,16242,1,0.0,7.125,7.25,0.125
p20,16242,1,0.0,6.875,7.0625,0.1875
p21,16242,1,0.0,6.75,6.875,0.125
p22,16242,1,0.0,8.25,8.25,0.0
p23,16242,1,0.0,6.375,6.6875,0.3125
p24,16242,1,0.0,5.1875,5.5,0.3125
p25,16242,1,0.0,11.1875,11.8125,0.625
p26,16242,1,0.0,7.0,6.625,-0.375
p27,16242,1,0.0,9.0625,9.25,0.1875
p28,16242,1,0.0,5.375,5.625,0.25
p29,16242,1,0.0,7.875,8.3125,0.4375
p30,16242,1,0.0,4.25,3.5625,-0.6875
p31,16242,1,0.0,0.28125,0.03125,-0.25
p32,16242,1,0.0,0.5625,0.375,-0.1875
p33,16242,1,0.0,2.125,1.0625,-1.0625
p34,16242,1,0.0,3.40625,3.53125,0.125
p35,16242,1,0.0,2.25,1.3125,-0.9375
p36,16242,1,0.0,2.15625,1.84375,-0.3125
p37,16242,1,0.0,1.5625,0.0,-1.5625
p38,16242,1,0.0,3.625,3.421875,-0.203125
p39,16242,1,0.0,2.0625,1.59375,-0.46875
p40,16242,1,0.0,1.671875,2.109375,0.4375
p41,16242,1,0.0,5.5,6.125,0.625
p42,16242,1,0.0,9.0,9.6875,0.6875
p43,16242,1,0.0,6.375,7.1875,0.8125
p44,16242,1,0.0,8.5,8.4375,-0.0625
p45,16242,1,0.0,11.5,11.96875,0.46875
p46,16242,1,0.0,5.125,5.5625,0.4375
p47,16242,1,0.0,9.5,10.4375,0.9375
p48,16242,1,0.0,12.125,12.4375,0.3125
p49,16242,1,0.0,9.9375,10.5625,0.625
p50,16242,1,0.0,7.125,6.75,-0.375
p51,16242,1,0.0,4.515625,5.359375,0.84375
p52,16242,1,0.0,7.9375,8.15625,0.21875
p53,16242,1,0.0,11.8125,12.75,0.9375
p54,16242,1,0.0,11.9453125,12.265625,0.3203125
p55,16242,1,0.0,11.03125,11.15625,0.125
p56,16242,1,0.0,7.15625,7.84375,0.6875
p57,16242,1,0.0,11.875,12.09375,0.21875
p58,16242,1,0.0,11.40625,11.8125,0.40625
p59,16242,1,0.0,4.46875,4.546875,0.078125
p60,16242,1,0.0,6.84375,7.53125,0.6875
p61,16242,1,0.0,0.6875,0.5,-0.1875
p62,16242,1,0.0,3.9375,4.0,0.0625
p63,16242,1,0.0,4.5625,4.25,-0.3125
p64,16242,1,0.0,0.125,0.0,-0.125
p65,16242,1,0.0,3.8125,3.75,-0.0625
p66,16242,1,0.0,6.8125,6.375,-0.4375
p67,16242,1,0.0,8.625,8.375,-0.25
p68,16242,1,0.0,7.4375,7.3125,-0.125
p69,16242,1,0.0,6.375,6.6875,0.3125
p70,16242,1,0.0,4.1875,3.9375,-0.25
p71,16242,1,0.0,1.4375,0.1875,-1.25
p72,16242,1,0.0,1.75,1.5625,-0.1875
p73,16242,1,0.0,1.8125,0.9375,-0.875
p74,16242,1,0.0,-0.0625,-0.8125,-0.75
p75,16242,1,0.0,3.8125,3.5625,-0.25
p76,16242,1,0.0,2.6875,3.28125,0.59375
p77,16242,1,0.0,3.875,3.5625,-0.3125
p78,16242,1,0.0,2.8125,2.75,-0.0625
p79,16242,1,0.0,2.0,1.75,-0.25
p80,16242,1,0.0,3.59375,3.8125,0.21875
p81,16242,1,0.0,6.625,6.65625,0.03125
p82,16242,1,0.0,2.125,2.375,0.25
p83,16242,1,0.0,5.3125,5.0625,-0.25
p84,16242,1,0.0,8.6875,9.0,0.3125
p85,16242,1,0.0,6.3125,6.1875,-0.125
p86,16242,1,0.0,5.5625,5.6875,0.125
p87,16242,1,0.0,6.1875,6.0,-0.1875
p88,16242,1,0.0,2.71875,2.4375,-0.28125
p89,16242,1,0.0,8.3125,8.25,-0.0625
p90,16242,1,0.0,4.96875,5.125,0.15625
p91,16242,1,0.0,5.75,6.0625,0.3125
p92,16242,1,0.0,2.0625,2.1875,0.125
p93,16242,1,0.0,4.375,4.5,0.125
p94,16242,1,0.0,4.5,4.625,0.125
p95,16242,1,0.0,5.125,5.1875,0.0625
p96,16242,1,0.0,9.5,9.625,0.125
p97,16242,1,0.0,5.8125,6.0,0.1875
p98,16242,1,0.0,6.0,6.25,0.25
p99,16242,1,0.0,6.875,7.0,0.125
p100,16242,1,0.0,2.375,2.5,0.125
p101,16242,1,0.0,-0.5625,-0.5625,0.0
p102,16242,1,0.0,0.5625,-0.8125,-1.375
p103,16242,1,0.0,2.5,1.75,-0.75
p104,16242,1,0.0,-2.0625,-1.625,0.4375
p105,16242,1,0.0,-2.0,-3.375,-1.375
p106,16242,1,0.0,2.75,1.5,-1.25
p107,16242,1,0.0,-2.3125,-3.0,-0.6875
p108,16242,1,0.0,5.4375,4.75,-0.6875
p109,16242,1,0.0,-1.3125,-2.5,-1.1875
p110,16242,1,0.0,3.9375,3.375,-0.5625
p111,16242,1,0.0,1.1875,1.0625,-0.125
p112,16242,1,0.0,-0.8125,-0.9375,-0.125
p113,16242,1,0.0,3.3125,3.0,-0.3125
p114,16242,1,0.0,2.0,2.09375,0.09375
p115,16242,1,0.0,3.5625,3.6875,0.125
p116,16242,1,0.0,7.3125,7.3125,0.0
p117,16242,1,0.0,7.1875,7.375,0.1875
p118,16242,1,0.0,3.5625,3.6875,0.125
p119,16242,1,0.0,3.40625,3.5,0.09375
