feature,is_target,alpha,mean_delta_contrast,ci95_lo,ci95_hi,n_pairs
16242,1,0.0,-0.0296484375,-0.0954345703125,0.032166015625000065,200
16242,1,0.5,0.0333203125,0.0009375,0.06476855468750001,200
16242,1,1.0,0.0,0.0,0.0,200
16242,1,1.5,-0.0749609375,-0.1048076171875,-0.045078125,200
16242,1,2.0,-0.1818359375,-0.2405888671875,-0.1265205078125,200
3019,0,0.0,0.09203125,0.07136328125,0.11230859375000002,200
3019,0,0.5,0.05265625,0.0371083984375,0.0681650390625,200
3019,0,1.0,0.0,0.0,0.0,200
3019,0,1.5,-0.041953125,-0.05625390625,-0.027576171874999993,200
3019,0,2.0,-0.0955859375,-0.11660253906250001,-0.0744140625,200
3518,0,0.0,0.32375,0.271171875,0.3783203125,200
3518,0,0.5,0.1559765625,0.126015625,0.1864482421875,200
3518,0,1.0,0.0,0.0,0.0,200
3518,0,1.5,-0.1597265625,-0.18757910156250002,-0.1317939453125,200
3518,0,2.0,-0.3055859375,-0.3537109375,-0.25761621093750003,200
4664,0,0.0,-0.047578125,-0.068484375,-0.026131835937499997,200
4664,0,0.5,-0.021484375,-0.037892578125,-0.004765625,200
4664,0,1.0,0.0,0.0,0.0,200
4664,0,1.5,0.019609375,0.0037890625,0.035821289062500004,200
4664,0,2.0,0.0459375,0.023943359375,0.06773730468750001,200
7407,0,0.0,-0.075,-0.09734472656250001,-0.053046875,200
7407,0,0.5,-0.033515625,-0.0493359375,-0.01800488281249999,200
7407,0,1.0,0.0,0.0,0.0,200
7407,0,1.5,0.0341796875,0.018828125,0.0499619140625,200
7407,0,2.0,0.0662890625,0.045349609374999995,0.08770019531250002,200
8887,0,0.0,0.0834765625,0.0579267578125,0.1087109375,200
8887,0,0.5,0.03359375,0.018005859375000002,0.048984375,200
8887,0,1.0,0.0,0.0,0.0,200
8887,0,1.5,-0.0365234375,-0.053046875,-0.020663085937499995,200
8887,0,2.0,-0.0858984375,-0.109576171875,-0.063828125,200
9479,0,0.0,-0.0796875,-0.111412109375,-0.0478125,200
9479,0,0.5,-0.0312890625,-0.0503125,-0.01195019531249999,200
9479,0,1.0,0.0,0.0,0.0,200
9479,0,1.5,0.0515625,0.0331630859375,0.07078125,200
9479,0,2.0,0.0744921875,0.04398046875,0.105705078125,200
15563,0,0.0,-0.02515625,-0.0510166015625,0.0025400390625000034,200
15563,0,0.5,-0.013359375,-0.03078125,0.004140625,200
15563,0,1.0,0.0,0.0,0.0,200
15563,0,1.5,-0.006171875,-0.0230087890625,0.01046875,200
15563,0,2.0,-0.00125,-0.026330078125,0.023989257812500015,200
16057,0,0.0,0.106796875,0.073671875,0.14125585937500001,200
16057,0,0.5,0.050703125,0.031328125,0.0709375,200
16057,0,1.0,0.0,0.0,0.0,200
16057,0,1.5,-0.0491796875,-0.06898828125,-0.029881835937499997,200
16057,0,2.0,-0.099609375,-0.131412109375,-0.06726171874999998,200
