category,pair_id,feature,is_target,alpha,delta_contrast
uncertainty,p1,4223,1,0.0,0.0
uncertainty,p2,4223,1,0.0,0.0
uncertainty,p3,4223,1,0.0,-0.1875
uncertainty,p4,4223,1,0.0,0.0
uncertainty,p5,4223,1,0.0,-0.125
uncertainty,p6,4223,1,0.0,0.0
uncertainty,p7,4223,1,0.0,0.0
uncertainty,p8,4223,1,0.0,0.0
uncertainty,p9,4223,1,0.0,-0.0625
uncertainty,p10,4223,1,0.0,0.0
uncertainty,p11,4223,1,0.0,0.0625
uncertainty,p12,4223,1,0.0,-0.0625
uncertainty,p13,4223,1,0.0,0.0625
uncertainty,p14,4223,1,0.0,0.125
uncertainty,p15,4223,1,0.0,0.125
uncertainty,p16,4223,1,0.0,0.0
uncertainty,p17,4223,1,0.0,0.0
uncertainty,p18,4223,1,0.0,0.0
uncertainty,p19,4223,1,0.0,0.25
uncertainty,p20,4223,1,0.0,0.0
uncertainty,p21,4223,1,0.0,0.0
uncertainty,p22,4223,1,0.0,0.0
uncertainty,p23,4223,1,0.0,0.125
uncertainty,p24,4223,1,0.0,0.0
uncertainty,p25,4223,1,0.0,0.0
uncertainty,p26,4223,1,0.0,0.0
uncertainty,p27,4223,1,0.0,0.0
uncertainty,p28,4223,1,0.0,0.0
uncertainty,p29,4223,1,0.0,0.0
uncertainty,p30,4223,1,0.0,0.0
uncertainty,p31,4223,1,0.0,0.0
uncertainty,p32,4223,1,0.0,0.0
uncertainty,p33,4223,1,0.0,0.0
uncertainty,p34,4223,1,0.0,0.0
uncertainty,p35,4223,1,0.0,0.0
uncertainty,p36,4223,1,0.0,0.0
uncertainty,p37,4223,1,0.0,0.0
uncertainty,p38,4223,1,0.0,0.0
uncertainty,p39,4223,1,0.0,0.0
uncertainty,p40,4223,1,0.0,0.0
uncertainty,p41,4223,1,0.0,0.0
uncertainty,p42,4223,1,0.0,0.0
uncertainty,p43,4223,1,0.0,0.0
uncertainty,p44,4223,1,0.0,0.0
uncertainty,p45,4223,1,0.0,0.0
uncertainty,p46,4223,1,0.0,0.0
uncertainty,p47,4223,1,0.0,0.0
uncertainty,p48,4223,1,0.0,0.0
uncertainty,p49,4223,1,0.0,0.0
