category,feature,is_target,alpha,mean_delta_contrast,ci95_lo,ci95_hi,n_pairs
uncertainty,4223,1,0.0,-0.00609375,-0.01578125,0.0021875,200
uncertainty,4223,1,0.5,-0.00015625,-0.00546875,0.005,200
uncertainty,4223,1,1.0,0.0,0.0,0.0,200
uncertainty,4223,1,1.5,0.00296875,-0.00046875,0.0065625,200
uncertainty,4223,1,2.0,0.0071875,0.0025,0.0121875,200
uncertainty,1620,0,0.0,0.00328125,-0.00640625,0.0128125,200
uncertainty,1620,0,0.5,0.0,-0.00984375,0.01015625,200
uncertainty,1620,0,1.0,0.0,0.0,0.0,200
uncertainty,1620,0,1.5,0.00515625,-0.0034414062499999996,0.0140625,200
uncertainty,1620,0,2.0,0.001796875,-0.007970703125,0.011015625,200
uncertainty,3632,0,0.0,0.0046875,-0.0048476562499999995,0.01375,200
uncertainty,3632,0,0.5,-0.00171875,-0.01109375,0.00765625,200
uncertainty,3632,0,1.0,0.0,0.0,0.0,200
uncertainty,3632,0,1.5,0.0075,-0.00140625,0.01625,200
uncertainty,3632,0,2.0,0.003125,-0.00719140625,0.012816406249999978,200
uncertainty,4627,0,0.0,0.00203125,-0.00875390625,0.0125,200
uncertainty,4627,0,0.5,0.0,-0.0103125,0.01,200
uncertainty,4627,0,1.0,0.0,0.0,0.0,200
uncertainty,4627,0,1.5,0.0103125,0.000625,0.02046875,200
uncertainty,4627,0,2.0,0.005,-0.007503906249999999,0.0171875,200
uncertainty,10245,0,0.0,0.0009375,-0.0084375,0.01,200
uncertainty,10245,0,0.5,0.0015625,-0.0078125,0.01078125,200
uncertainty,10245,0,1.0,0.0,0.0,0.0,200
uncertainty,10245,0,1.5,0.005,-0.00422265625,0.01484375,200
uncertainty,10245,0,2.0,0.00625,-0.00265625,0.0159375,200
uncertainty,10865,0,0.0,-0.086796875,-0.132033203125,-0.04491992187500001,200
uncertainty,10865,0,0.5,-0.04296875,-0.06562890625000001,-0.02234375,200
uncertainty,10865,0,1.0,0.0,0.0,0.0,200
uncertainty,10865,0,1.5,0.039765625,0.021169921875,0.06016015624999998,200
uncertainty,10865,0,2.0,0.07640625,0.04108984375,0.11610156249999995,200
uncertainty,14052,0,0.0,0.0046875,-0.004375,0.01359375,200
uncertainty,14052,0,0.5,0.00734375,-0.001875,0.016253906249999978,200
uncertainty,14052,0,1.0,0.0,0.0,0.0,200
uncertainty,14052,0,1.5,0.0059375,-0.00296875,0.01546875,200
uncertainty,14052,0,2.0,0.003125,-0.0067226562499999995,0.01328125,200
uncertainty,14429,0,0.0,0.00515625,-0.005,0.014847656249999978,200
uncertainty,14429,0,0.5,0.0040625,-0.00484375,0.0128125,200
uncertainty,14429,0,1.0,0.0,0.0,0.0,200
uncertainty,14429,0,1.5,0.0,-0.008125,0.00796875,200
uncertainty,14429,0,2.0,0.0075,-0.00140625,0.016410156249999978,200
uncertainty,15133,0,0.0,0.008515625,-0.000859375,0.017970703124999987,200
uncertainty,15133,0,0.5,0.0021875,-0.00671875,0.010785156249999978,200
uncertainty,15133,0,1.0,0.0,0.0,0.0,200
uncertainty,15133,0,1.5,0.0040625,-0.0046875,0.013125,200
uncertainty,15133,0,2.0,0.005,-0.0046875,0.01421875,200
